filter_family,regularization_weight,blended_cost_alpha,n,episode_violation_rate_mean,episode_violation_rate_sd,episode_violation_rate_ci_low,episode_violation_rate_ci_high,intervention_freq_mean,intervention_freq_sd,intervention_freq_ci_low,intervention_freq_ci_high,intervention_mag_mean,intervention_mag_sd,intervention_mag_ci_low,intervention_mag_ci_high,control_effort_mean,control_effort_sd,control_effort_ci_low,control_effort_ci_high,elapsed_s_mean,elapsed_s_sd,elapsed_s_ci_low,elapsed_s_ci_high
Blended,1.0,0.25,800.0,0.5454166666666667,0.4960066858997348,0.51125,0.5804166666666667,0.7317832863080136,0.297993342229019,0.7121150080284244,0.7524152917719342,0.4313493006530934,0.3598500166538715,0.40541869159159827,0.45754493645020433,117.64714883946682,53.623524829729135,113.77884609404393,121.17843427836644,4.777274922728538,1.7683099223864185,4.648526954546571,4.896678699754179
Blended,1.0,0.5,800.0,0.54375,0.49699678657758606,0.5091666666666667,0.5779270833333333,0.7319752549134741,0.2975105191091688,0.7115140556975488,0.7521733711005253,0.43167991457986915,0.35998631130238934,0.40618002770339906,0.4564617988802846,118.61782091329931,58.71843512552405,114.65404353001945,122.60672255594488,4.7781652799248695,1.8084876901586486,4.654520506873727,4.899611452020705
Blended,1.0,0.75,800.0,0.545,0.4968850264628779,0.51,0.5783333333333333,0.7312458053938298,0.2967692945670059,0.7114402165455258,0.750811786684001,0.4308042638710472,0.35980292424604976,0.4050737435785711,0.4568459888431919,117.85076929867486,53.65209789903323,114.22958773750304,121.68877665856664,4.763236549794674,1.7585504958855505,4.645616079121828,4.8876570418998595
Regularized,0.25,0.5,800.0,0.5479166666666667,0.49605154220783304,0.5149895833333333,0.5812604166666666,0.7507610529805094,0.2808042299736033,0.7311943407125083,0.7693344810913879,0.42717133494383086,0.3583542530167455,0.4029945392101973,0.4513668374778641,118.27056663770178,59.429631801151245,114.01950141699355,122.49286299218356,4.622816699743271,1.6975328520582922,4.51149823845923,4.7413298847824334
Regularized,1.0,0.5,800.0,0.54875,0.4962505431587103,0.515,0.5829166666666667,0.7530086273074618,0.27873994037041555,0.7339050714667738,0.7708730730819293,0.42712704844228566,0.3583831448880775,0.4028498436570097,0.45282246353576333,118.07379780589847,58.30831393049649,113.96650158611753,122.42272762049102,4.608793695569038,1.695521165160957,4.488132859557867,4.726273689180612
Regularized,4.0,0.5,800.0,0.5491666666666667,0.49732912005069274,0.5145833333333334,0.5829270833333333,0.7516537210461923,0.28081111211296067,0.7310861061820009,0.7725490036842279,0.42671959795752135,0.3588543447296109,0.4021556747568582,0.45147202175205764,118.09983270187976,58.79417282352575,114.14689149738042,122.36252510871628,4.596600213348865,1.6916341582790015,4.489459761805833,4.715151827074587
