r,n,episode_violation_rate_mean,episode_violation_rate_sd,episode_violation_rate_ci_low,episode_violation_rate_ci_high,intervention_freq_mean,intervention_freq_sd,intervention_freq_ci_low,intervention_freq_ci_high,intervention_mag_mean,intervention_mag_sd,intervention_mag_ci_low,intervention_mag_ci_high,control_effort_mean,control_effort_sd,control_effort_ci_low,control_effort_ci_high,elapsed_s_mean,elapsed_s_sd,elapsed_s_ci_low,elapsed_s_ci_high
1,1200.0,0.0,0.0,0.0,0.0,0.9732188888888889,0.11424049541622593,0.9667646111111111,0.9790519722222223,0.8852819841920749,0.14463040273035452,0.8766811202557379,0.8929129516614447,121.06604988163798,40.14614242270456,119.09938615861488,123.55659889534658,6.246854400237401,0.7460557970690089,6.207770033682386,6.288467331926028
2,1200.0,0.38,0.48558881482268595,0.3533125,0.40668749999999987,0.7769746186455759,0.1975978961481293,0.7656039395753425,0.7879938734952475,0.5735655989076534,0.22338237198119307,0.5604279694957576,0.5852947670414944,92.14809762265118,48.181820682049576,89.5045882875367,95.01485227172145,5.238480612238249,1.9029141977043451,5.134043871889512,5.343781438107292
3,1200.0,0.8069444444444444,0.3872778962272276,0.7852777777777777,0.8291666666666667,0.5215059682652862,0.333869514885385,0.5032596694066266,0.5404370322001528,0.15462027014584312,0.1559092663888348,0.14590061676985489,0.16369019075267255,114.53670678090339,65.46335292116746,110.95503980121512,118.09371464450328,4.171518044471741,1.5150758777947673,4.086824643378456,4.2537260826975105
4,1200.0,0.9997222222222221,0.009622504486493764,0.9988888888888889,1.0,0.6952523561665697,0.254922515780221,0.6809555837097102,0.7095284216116322,0.10309978705286045,0.09931453886081251,0.09736287070717119,0.10875591600583405,144.6224365127548,58.625345998682505,141.24673133577122,147.9383187766119,3.1077385171254477,0.34551120654203543,3.0879862306217354,3.1272325421422718
