r,reward_mode,cost_setting,n,episode_violation_rate_mean,episode_violation_rate_sd,episode_violation_rate_ci_low,episode_violation_rate_ci_high,intervention_freq_mean,intervention_freq_sd,intervention_freq_ci_low,intervention_freq_ci_high,intervention_mag_mean,intervention_mag_sd,intervention_mag_ci_low,intervention_mag_ci_high,control_effort_mean,control_effort_sd,control_effort_ci_low,control_effort_ci_high,elapsed_s_mean,elapsed_s_sd,elapsed_s_ci_low,elapsed_s_ci_high
1,actuator_saturation,blended alpha=0.25,20.0,0.0,0.0,0.0,0.0,0.9941000000000001,0.0064573273127038755,0.9912666666666669,0.9966333333333333,0.9175713252154012,0.003296332892786285,0.9160332544256958,0.9189617968367906,120.10399608904375,1.5871555710826404,119.47577643160834,120.78083989006399,6.543858742713928,0.3385849809752807,6.42055483430624,6.702405407428741
1,actuator_saturation,blended alpha=0.5,20.0,0.0,0.0,0.0,0.0,0.9941666666666669,0.006623986185255502,0.9911658333333334,0.9968333333333333,0.9178624131531082,0.0034737844810249574,0.9162937316677291,0.9191533557018755,153.656691089997,150.70958419034352,119.31272208763419,221.48276566389123,6.9481557488441466,2.249447197398098,6.360840757489204,7.9928694206476205
1,actuator_saturation,blended alpha=0.75,20.0,0.0,0.0,0.0,0.0,0.9938,0.007511706263835927,0.9905658333333334,0.9968341666666667,0.9177782153782245,0.004239196708928101,0.9158776072929176,0.9194424901888026,119.66676176343192,1.6946508550918042,118.96430648679738,120.37631129114249,6.569061052799225,0.3510894451370896,6.440364551544189,6.736318138241767
1,actuator_saturation,regularized rw=0.25,20.0,0.0,0.0,0.0,0.0,0.9946333333333331,0.006385198527369204,0.9918666666666667,0.9971666666666665,0.9175133310104664,0.004444896188353582,0.9155200380024754,0.9192550484124344,153.49767281380858,150.24349022800862,119.22204782173863,221.19864093621146,6.676288831233978,2.159842770310107,6.125549195408821,7.668559304177761
1,actuator_saturation,regularized rw=1,20.0,0.0,0.0,0.0,0.0,0.9954666666666668,0.005521250811755978,0.9928666666666667,0.9976666666666667,0.9183486712116722,0.0036409156990193023,0.9166874449434446,0.9197148629850282,153.38169741543197,152.85088128538527,118.60926426899184,222.09477114248992,6.659791338443756,1.9527450035892522,6.1573974847793576,7.592923392653465
1,actuator_saturation,regularized rw=4,20.0,0.0,0.0,0.0,0.0,0.9947000000000001,0.006689347383792588,0.9917,0.9973333333333333,0.9173445099343092,0.004323745097522529,0.9153081052571029,0.9189804135311253,154.3096991484036,152.46617798466815,119.72365634068389,223.01516212759824,6.599997448921203,2.0041330974546487,6.076286998391152,7.562381420433521
1,chattering,blended alpha=0.25,20.0,0.0,0.0,0.0,0.0,0.9337333333333333,0.22299549204789818,0.8286191666666667,0.9935008333333334,0.8446573003037994,0.22971290771279845,0.7335082403463397,0.9172579741893621,116.65808123947531,15.37356935130822,109.41821859454146,120.66778775029843,6.4254346013069155,0.17645784927673283,6.352443907856941,6.503362701535225
1,chattering,blended alpha=0.5,20.0,0.0,0.0,0.0,0.0,0.9340333333333334,0.22259936739032546,0.8262916666666668,0.9940341666666667,0.8450408400774094,0.22993711274819464,0.7277467795383012,0.9176355436357037,116.2161308341783,15.002631321385035,109.01850863151381,120.12080599940042,6.420813679695129,0.19185507088380732,6.33775299102068,6.499580988883973
1,chattering,blended alpha=0.75,20.0,0.0,0.0,0.0,0.0,0.9336666666666668,0.22340046123916427,0.8222591666666665,0.9935674999999999,0.8445887365987803,0.2296462229776568,0.7271159960544149,0.9176272001370119,116.38129593953299,14.703687576469143,109.47022886069531,120.20752822582837,6.367386162281036,0.11416709921054899,6.316618422865868,6.414867691099643
1,chattering,regularized rw=0.25,20.0,0.0,0.0,0.0,0.0,0.9369000000000002,0.21301459467336892,0.8308583333333333,0.9950333333333333,0.845406207163359,0.22983669632469267,0.7283924840295862,0.9177411973230092,116.28420806142829,14.292977729351614,109.49896725233292,120.15098957495604,5.986606121063232,0.15370936313381395,5.922675849795342,6.052325248718262
